Date,Open,High,Low,Close,FW Moving Average 25,RWG
5/12/22 12:20,388.75,389.31,388.26,389.195,389.4085,White
5/12/22 12:22,389.195,390.07,388.695,389.71,389.3806,Green
5/12/22 12:24,389.71,389.83,389.29,389.56,389.3487,White
5/12/22 12:26,389.56,390.31,389.45,390.05,389.3606,Green
5/12/22 12:28,390.06,390.83,389.98,390.7135,389.4291,Green
5/12/22 12:30,390.73,390.8,390.2,390.5099,389.4857,White
5/12/22 12:32,390.51,391.5,390.44,391.2601,389.6069,Green
5/12/22 12:34,391.2601,391.785,391.0601,391.42,389.7444,White
5/12/22 12:36,391.42,391.89,391.42,391.89,389.9193,Green
5/12/22 12:38,391.855,391.94,391.21,391.24,390.042,Red
5/12/22 12:40,391.24,391.58,390.97,390.97,390.1415,Red
5/12/22 12:42,390.97,391.0153,389.79,389.8,390.149,Red
5/12/22 12:44,389.8,391.42,389.8,391.36,390.2762,Green
5/12/22 12:46,391.36,392.29,391.28,391.85,390.4353,Green
5/12/22 12:48,391.85,392.36,391.73,391.7558,390.5792,White
5/12/22 12:50,391.78,392.0302,390.95,391.29,390.6786,Red
5/12/22 12:52,391.2403,391.65,391.02,391.1,390.7554,White
5/12/22 12:54,391.105,391.64,390.64,391.5,390.8542,White
5/12/22 12:56,391.51,391.54,390.89,390.89,390.8972,White
5/12/22 12:58,390.89,391.82,390.84,391.56,390.9844,Green
5/12/22 13:00,391.58,391.68,390.27,390.47,390.9803,Red
5/12/22 13:02,390.47,390.88,390.03,390.78,390.9961,White
5/12/22 13:04,390.76,391.1,390.48,390.56,390.9904,White
5/12/22 13:06,390.56,390.57,389.16,389.52,390.8998,Red
5/12/22 13:08,389.52,389.97,389.25,389.74,390.8253,White
5/12/22 13:10,389.74,389.93,389.38,389.62,390.7386,White
5/12/22 13:12,389.62,390.13,389.4511,390.09,390.6867,Green
5/12/22 13:14,390.07,390.6,389.65,389.7879,390.6104,White
5/12/22 13:16,389.7879,390.19,389.34,390.0928,390.5568,White
5/12/22 13:18,390.0999,390.33,389.26,389.6682,390.4705,White
5/12/22 13:20,389.6682,389.73,388.82,389.04,390.339,Red
5/12/22 13:22,389.04,389.91,389.02,389.645,390.2586,White
5/12/22 13:24,389.645,389.79,388.88,389,390.1336,Red
5/12/22 13:26,389,389.53,389,389.45,390.0506,White
5/12/22 13:28,389.45,389.6,389.07,389.29,389.9628,White
5/12/22 13:30,389.29,389.4,388.67,389.34,389.8849,White
