Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower
419.81,421.63,419.74,421.135,1663500,1763026,1
421.135,421.8,420.105,421.2,1210600,1768396,0
421.2,421.9,420.65,420.89,839200,1769364,1
420.89,422.27,420.89,422.27,969000,1774762,0
422.27,422.6821,421.6,421.68,973000,1775734,1
421.71,422.65,421.41,422.21,947000,1764740,1
422.21,423.01,422.11,422.285,1208700,1753604,0
422.285,422.43,421.62,421.67,671400,1749176,1
421.675,423.2,421.67,423.04,815800,1740736,0
423.035,423.29,422.01,422.02,741800,1716086,1
422.02,422.22,421.63,422.0399,701700,1689580,0
422.075,422.46,420.98,421.23,895400,1684332,1
421.23,422.56,421.07,422.54,814300,1676188,1
422.56,423.3432,422.39,423.14,959100,1654868,0
423.14,423.79,422.85,423.13,1010800,1642200,1
423.13,423.34,422.7306,423.2001,554100,1613396,0
423.2001,423.54,422.3,422.995,720100,1578254,0
423.03,423.692,422.3,422.5,910700,1450914,0
422.5,422.61,421.97,422.2903,589700,1209124,1
422.2903,423.27,422.21,422.85,729200,1150170,1
422.85,423.04,422.4,422.94,469300,1107396,0
422.94,423.19,421.96,422.835,853300,1088704,0
422.835,422.835,422.13,422.49,721500,1070448,0
422.49,422.72,421.75,421.84,897900,1059610,1
421.84,423.49,421.81,423.32,803300,1042072,1
423.32,423.6965,422.65,423.33,1008900,1034260,1
423.33,424.38,423.33,424.08,1113900,1022486,1
424.08,424.98,423.78,424.86,1346700,1018802,1
424.86,425.62,424.64,425.5599,1780900,1030306,1
425.5599,425.81,425.31,425.6798,909900,1018976,0
425.67,425.8,425.03,425.04,1226500,1012364,0
425.04,425.44,424.8,425.01,1066500,997430,1
425.01,426.29,424.72,426.19,1226400,992174,1
426.19,426.76,425.96,426.72,960500,987080,0
426.72,426.76,425.46,425.51,1061500,987894,0
425.49,425.73,424.04,424.43,1605400,999806,0
424.45,424.6,423.84,424.32,1338400,1003922,1
424.33,424.95,424.24,424.89,1204600,1004820,1
424.89,426.04,424.89,426.02,1236400,1010336,1
426.03,427.15,426.0032,427.03,1527300,1018812,1
427.04,427.42,426.01,427.205,1761500,1032006,1
427.205,427.53,426.84,427.342,1716900,1048602,1
427.35,428.2,427.17,428.055,1617100,1059448,1
428.06,428.47,427.06,428.25,2358100,1080708,0
428.25,428.59,427.4,427.82,2332900,1108200,1
427.66,428.69,427.13,428.56,2922700,1149448,0
428.56,428.65,427.92,428.5,5901300,1241836,0
425.92,426.04,425.04,425.0972,2386900,1269404,1
425.0972,425.72,424.94,425.13,1521000,1277006,0
425.15,425.37,424.191,424.23,1596000,1287972,0
424.2299,425.0899,423.9999,424.1899,1715500,1289012,0
424.19,424.51,423.54,423.55,1684600,1298492,1
423.55,423.94,423.43,423.86,1055400,1302816,0
423.85,423.95,423.37,423.745,1327700,1309990,1
423.745,424.64,423.62,424.42,1199400,1314518,0
424.41,424.6135,423.32,423.395,1002100,1315620,0
423.395,423.395,421.88,422.155,1524900,1321944,0
422.155,422.39,421.43,421.83,1535500,1339226,1
421.83,422.49,421.47,422.4633,1073900,1344388,0
422.4633,422.58,421.47,421.58,983700,1349226,0
421.58,422.2,420.97,421.32,1179900,1358790,0
421.32,421.59,420.49,420.82,1407500,1369032,1
420.81,421.69,420.7,421.64,1151700,1375780,0
421.6276,421.9499,421.04,421.17,810200,1372802,0
421.1901,421.4601,420.9601,421.0701,787000,1368326,0
421.04,421.07,420.4301,420.4901,933500,1375914,1
420.49,420.75,420.21,420.62,975100,1381014,1
420.62,421.22,420.45,421.21,964700,1382094,0
421.21,421.215,420.26,420.3,780200,1385904,1
420.3,421.55,420.17,420.99,1068400,1392688,0
420.99,421.31,420.7452,420.8416,611900,1395540,0
420.83,421.24,420.32,420.68,866300,1395800,0
420.7,420.78,419.78,420.33,1315600,1407682,1
420.33,420.51,419.61,420.4699,984600,1409416,0
420.4699,420.71,420.14,420.46,602400,1405398,0
420.46,420.72,420.18,420.21,685200,1398924,0
420.21,420.23,419.41,419.445,821100,1393068,1
419.445,419.949,419.44,419.84,755700,1381248,1
419.84,420.57,419.71,420.4701,702400,1359678,1
420.4701,420.65,420.13,420.56,651900,1354518,1
420.56,421.12,420.54,420.9299,882200,1347632,1
420.9299,421.669,420.91,421.31,842300,1343148,1
421.31,422.27,421.27,421.99,1114300,1340906,0
421.99,422.2369,421.41,421.58,697100,1335638,0
421.58,421.85,420.9,420.9901,543200,1325272,1
420.9901,421.36,420.78,421.08,653100,1306226,0
421.08,421.15,420.57,420.6999,473900,1288936,1
420.69,421.41,420.6125,421.0499,627300,1277390,1
421.04,422.31,420.86,422.225,827200,1269206,0
422.225,422.26,420.4,420.52,981200,1258284,1
420.54,420.915,420.5,420.62,618100,1235416,0
420.6107,420.87,420.08,420.09,545100,1211980,0
420.08,420.33,419.58,419.64,856800,1196774,0
419.64,419.81,419.32,419.355,671400,1163040,0
419.35,419.55,419,419.19,768700,1131756,1
419.19,419.54,418.74,419.28,895500,1091212,1
419.28,419.61,418.88,419.4008,1048300,994152,1
419.4132,420.57,419.35,420.2348,1009300,966600,0
420.26,420.42,419.59,419.95,781200,951804,0
419.95,420.03,419.245,419.26,687000,933624,1
419.25,419.75,419.18,419.41,893800,917190,0
419.41,419.63,419,419.3733,874400,900986,0
419.3733,419.79,419.19,419.3149,657900,893036,1
419.33,420.07,419.27,419.95,668600,879854,0
419.94,420.52,419.47,419.85,879400,873454,1
419.85,420.95,419.76,420.64,770900,868830,0
420.64,420.86,420.1,420.58,625800,850848,0
420.54,420.67,419.87,420.3801,725900,834656,1
420.39,421,420.29,420.58,704100,827260,0
420.58,420.58,419.39,419.45,951000,826606,1
419.45,419.95,419.23,419.545,866500,820338,1
419.545,420.4,419.48,420.26,648900,805166,1
420.26,420.95,420.1796,420.75,709000,796312,0
420.72,421.22,420.21,420.25,1026600,800640,0
420.24,420.32,419.44,419.55,891800,802736,0
419.54,419.97,418.61,418.73,1195400,807974,0
418.72,418.78,417.61,417.79,1714600,822764,1
417.79,418.56,417.73,418.39,1432700,832124,0
418.39,418.55,417.79,417.96,1164000,839800,0
417.95,418.22,417.24,417.49,2164100,861714,1
417.49,418.2,417.11,418.1716,1668400,882844,0
418.1716,418.43,417.4,418.09,1745600,900430,0
418.09,418.45,417.2,417.49,2586300,925844,0
