Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower,Open1Prev,High1Prev,Low1Prev,Close1Prev,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
422.27,422.6821,421.6,421.68,973000,1775734,1,420.89,422.27,420.89,422.27,421.2,421.9,420.65,420.89,421.135,421.8,420.105,421.2,419.81,421.63,419.74,421.135
421.71,422.65,421.41,422.21,947000,1764740,1,422.27,422.6821,421.6,421.68,420.89,422.27,420.89,422.27,421.2,421.9,420.65,420.89,421.135,421.8,420.105,421.2
422.21,423.01,422.11,422.285,1208700,1753604,0,421.71,422.65,421.41,422.21,422.27,422.6821,421.6,421.68,420.89,422.27,420.89,422.27,421.2,421.9,420.65,420.89
422.285,422.43,421.62,421.67,671400,1749176,1,422.21,423.01,422.11,422.285,421.71,422.65,421.41,422.21,422.27,422.6821,421.6,421.68,420.89,422.27,420.89,422.27
421.675,423.2,421.67,423.04,815800,1740736,0,422.285,422.43,421.62,421.67,422.21,423.01,422.11,422.285,421.71,422.65,421.41,422.21,422.27,422.6821,421.6,421.68
423.035,423.29,422.01,422.02,741800,1716086,1,421.675,423.2,421.67,423.04,422.285,422.43,421.62,421.67,422.21,423.01,422.11,422.285,421.71,422.65,421.41,422.21
422.02,422.22,421.63,422.0399,701700,1689580,0,423.035,423.29,422.01,422.02,421.675,423.2,421.67,423.04,422.285,422.43,421.62,421.67,422.21,423.01,422.11,422.285
422.075,422.46,420.98,421.23,895400,1684332,1,422.02,422.22,421.63,422.0399,423.035,423.29,422.01,422.02,421.675,423.2,421.67,423.04,422.285,422.43,421.62,421.67
421.23,422.56,421.07,422.54,814300,1676188,1,422.075,422.46,420.98,421.23,422.02,422.22,421.63,422.0399,423.035,423.29,422.01,422.02,421.675,423.2,421.67,423.04
422.56,423.3432,422.39,423.14,959100,1654868,0,421.23,422.56,421.07,422.54,422.075,422.46,420.98,421.23,422.02,422.22,421.63,422.0399,423.035,423.29,422.01,422.02
423.14,423.79,422.85,423.13,1010800,1642200,1,422.56,423.3432,422.39,423.14,421.23,422.56,421.07,422.54,422.075,422.46,420.98,421.23,422.02,422.22,421.63,422.0399
423.13,423.34,422.7306,423.2001,554100,1613396,0,423.14,423.79,422.85,423.13,422.56,423.3432,422.39,423.14,421.23,422.56,421.07,422.54,422.075,422.46,420.98,421.23
423.2001,423.54,422.3,422.995,720100,1578254,0,423.13,423.34,422.7306,423.2001,423.14,423.79,422.85,423.13,422.56,423.3432,422.39,423.14,421.23,422.56,421.07,422.54
423.03,423.692,422.3,422.5,910700,1450914,0,423.2001,423.54,422.3,422.995,423.13,423.34,422.7306,423.2001,423.14,423.79,422.85,423.13,422.56,423.3432,422.39,423.14
422.5,422.61,421.97,422.2903,589700,1209124,1,423.03,423.692,422.3,422.5,423.2001,423.54,422.3,422.995,423.13,423.34,422.7306,423.2001,423.14,423.79,422.85,423.13
422.2903,423.27,422.21,422.85,729200,1150170,1,422.5,422.61,421.97,422.2903,423.03,423.692,422.3,422.5,423.2001,423.54,422.3,422.995,423.13,423.34,422.7306,423.2001
422.85,423.04,422.4,422.94,469300,1107396,0,422.2903,423.27,422.21,422.85,422.5,422.61,421.97,422.2903,423.03,423.692,422.3,422.5,423.2001,423.54,422.3,422.995
422.94,423.19,421.96,422.835,853300,1088704,0,422.85,423.04,422.4,422.94,422.2903,423.27,422.21,422.85,422.5,422.61,421.97,422.2903,423.03,423.692,422.3,422.5
422.835,422.835,422.13,422.49,721500,1070448,0,422.94,423.19,421.96,422.835,422.85,423.04,422.4,422.94,422.2903,423.27,422.21,422.85,422.5,422.61,421.97,422.2903
422.49,422.72,421.75,421.84,897900,1059610,1,422.835,422.835,422.13,422.49,422.94,423.19,421.96,422.835,422.85,423.04,422.4,422.94,422.2903,423.27,422.21,422.85
421.84,423.49,421.81,423.32,803300,1042072,1,422.49,422.72,421.75,421.84,422.835,422.835,422.13,422.49,422.94,423.19,421.96,422.835,422.85,423.04,422.4,422.94
423.32,423.6965,422.65,423.33,1008900,1034260,1,421.84,423.49,421.81,423.32,422.49,422.72,421.75,421.84,422.835,422.835,422.13,422.49,422.94,423.19,421.96,422.835
423.33,424.38,423.33,424.08,1113900,1022486,1,423.32,423.6965,422.65,423.33,421.84,423.49,421.81,423.32,422.49,422.72,421.75,421.84,422.835,422.835,422.13,422.49
424.08,424.98,423.78,424.86,1346700,1018802,1,423.33,424.38,423.33,424.08,423.32,423.6965,422.65,423.33,421.84,423.49,421.81,423.32,422.49,422.72,421.75,421.84
424.86,425.62,424.64,425.5599,1780900,1030306,1,424.08,424.98,423.78,424.86,423.33,424.38,423.33,424.08,423.32,423.6965,422.65,423.33,421.84,423.49,421.81,423.32
425.5599,425.81,425.31,425.6798,909900,1018976,0,424.86,425.62,424.64,425.5599,424.08,424.98,423.78,424.86,423.33,424.38,423.33,424.08,423.32,423.6965,422.65,423.33
425.67,425.8,425.03,425.04,1226500,1012364,0,425.5599,425.81,425.31,425.6798,424.86,425.62,424.64,425.5599,424.08,424.98,423.78,424.86,423.33,424.38,423.33,424.08
425.04,425.44,424.8,425.01,1066500,997430,1,425.67,425.8,425.03,425.04,425.5599,425.81,425.31,425.6798,424.86,425.62,424.64,425.5599,424.08,424.98,423.78,424.86
425.01,426.29,424.72,426.19,1226400,992174,1,425.04,425.44,424.8,425.01,425.67,425.8,425.03,425.04,425.5599,425.81,425.31,425.6798,424.86,425.62,424.64,425.5599
426.19,426.76,425.96,426.72,960500,987080,0,425.01,426.29,424.72,426.19,425.04,425.44,424.8,425.01,425.67,425.8,425.03,425.04,425.5599,425.81,425.31,425.6798
426.72,426.76,425.46,425.51,1061500,987894,0,426.19,426.76,425.96,426.72,425.01,426.29,424.72,426.19,425.04,425.44,424.8,425.01,425.67,425.8,425.03,425.04
425.49,425.73,424.04,424.43,1605400,999806,0,426.72,426.76,425.46,425.51,426.19,426.76,425.96,426.72,425.01,426.29,424.72,426.19,425.04,425.44,424.8,425.01
424.45,424.6,423.84,424.32,1338400,1003922,1,425.49,425.73,424.04,424.43,426.72,426.76,425.46,425.51,426.19,426.76,425.96,426.72,425.01,426.29,424.72,426.19
