Date,Open,High,Low,Close,FW Moving Average 25,RWG
44693.48056,393.01,393.35,391.95,392.15,,
44693.48194,392.15,392.34,391.416,391.54,,Red
44693.48333,391.54,392.197,391.49,391.89,,White
44693.48472,391.89,392.43,391.79,391.93,,White
44693.48611,391.89,392.83,391.59,392.74,,Green
44693.4875,392.74,392.755,392.34,392.56,,White
44693.48889,392.56,392.77,391.48,391.8,,Red
44693.49028,391.8,391.87,390.93,391.21,,Red
44693.49167,391.21,391.23,390.3,390.4332,,Red
44693.49306,390.41,390.68,390.28,390.3451,,White
44693.49444,390.35,390.35,389.56,389.6842,,Red
44693.49583,389.6842,389.71,389.17,389.48,,Red
44693.49722,389.46,389.9,389.2,389.24,,White
44693.49861,389.24,389.35,388.83,388.97,,Red
44693.5,388.97,389.08,388.66,388.697,,Red
44693.50139,388.697,388.79,388.16,388.22,,Red
44693.50278,388.22,388.8,388.2,388.64,,White
44693.50417,388.64,389.03,388.41,388.51,,White
44693.50556,388.5,389.2671,388.5,389.1246,,Green
44693.50694,389.1246,389.45,388.8,389.19,,White
44693.50833,389.19,389.71,388.27,389.29,,White
44693.50972,389.29,389.29,388.6,388.98,,White
44693.51111,388.98,389.5,388.85,389.25,,White
44693.5125,389.25,389.58,388.565,388.75,,Red
44693.51389,388.75,389.31,388.26,389.195,389.4085,White
44693.51528,389.195,390.07,388.695,389.71,389.3806,Green
44693.51667,389.71,389.83,389.29,389.56,389.3487,White
44693.51806,389.56,390.31,389.45,390.05,389.3606,Green
44693.51944,390.06,390.83,389.98,390.7135,389.4291,Green
44693.52083,390.73,390.8,390.2,390.5099,389.4857,White
44693.52222,390.51,391.5,390.44,391.2601,389.6069,Green
44693.52361,391.2601,391.785,391.0601,391.42,389.7444,White
44693.525,391.42,391.89,391.42,391.89,389.9193,Green
44693.52639,391.855,391.94,391.21,391.24,390.042,Red
44693.52778,391.24,391.58,390.97,390.97,390.1415,Red
44693.52917,390.97,391.0153,389.79,389.8,390.149,Red
44693.53056,389.8,391.42,389.8,391.36,390.2762,Green
44693.53194,391.36,392.29,391.28,391.85,390.4353,Green
44693.53333,391.85,392.36,391.73,391.7558,390.5792,White
44693.53472,391.78,392.0302,390.95,391.29,390.6786,Red
44693.53611,391.2403,391.65,391.02,391.1,390.7554,White
44693.5375,391.105,391.64,390.64,391.5,390.8542,White
44693.53889,391.51,391.54,390.89,390.89,390.8972,White
44693.54028,390.89,391.82,390.84,391.56,390.9844,Green
44693.54167,391.58,391.68,390.27,390.47,390.9803,Red
44693.54306,390.47,390.88,390.03,390.78,390.9961,White
44693.54444,390.76,391.1,390.48,390.56,390.9904,White
44693.54583,390.56,390.57,389.16,389.52,390.8998,Red
44693.54722,389.52,389.97,389.25,389.74,390.8253,White
44693.54861,389.74,389.93,389.38,389.62,390.7386,White
44693.55,389.62,390.13,389.4511,390.09,390.6867,Green
44693.55139,390.07,390.6,389.65,389.7879,390.6104,White
44693.55278,389.7879,390.19,389.34,390.0928,390.5568,White
44693.55417,390.0999,390.33,389.26,389.6682,390.4705,White
44693.55556,389.6682,389.73,388.82,389.04,390.339,Red
44693.55694,389.04,389.91,389.02,389.645,390.2586,White
44693.55833,389.645,389.79,388.88,389,390.1336,Red
44693.55972,389,389.53,389,389.45,390.0506,White
44693.56111,389.45,389.6,389.07,389.29,389.9628,White
44693.5625,389.29,389.4,388.67,389.34,389.8849,White
44693.56389,389.34,389.7617,388.93,389.56,389.8289,Green
44693.56528,389.56,389.56,388.25,388.88,389.7213,Red
44693.56667,388.86,388.9414,388.51,388.89,389.6221,White
44693.56806,388.89,388.98,387.94,388.01,389.4644,Red
