Date,15:55 Last,14:50:00 Open,14:55:00 Open,15:00:00 Open,15:05:00 Open,15:10:00 Open,15:15:00 Open,15:20:00 Open,15:25:00 Open,15:30:00 Open,15:35:00 Open,15:40:00 Open,15:45:00 Open,15:50:00 Open,15:55:00 Open,14:50:00 High,14:55:00 High,15:00:00 High,15:05:00 High,15:10:00 High,15:15:00 High,15:20:00 High,15:25:00 High,15:30:00 High,15:35:00 High,15:40:00 High,15:45:00 High,15:50:00 High,15:55:00 High,14:50:00 Low,14:55:00 Low,15:00:00 Low,15:05:00 Low,15:10:00 Low,15:15:00 Low,15:20:00 Low,15:25:00 Low,15:30:00 Low,15:35:00 Low,15:40:00 Low,15:45:00 Low,15:50:00 Low,15:55:00 Low,14:50:00 Last,14:55:00 Last,15:00:00 Last,15:05:00 Last,15:10:00 Last,15:15:00 Last,15:20:00 Last,15:25:00 Last,15:30:00 Last,15:35:00 Last,15:40:00 Last,15:45:00 Last,15:50:00 Last,15:55:00 Last,14:50:00 Change,14:55:00 Change,15:00:00 Change,15:05:00 Change,15:10:00 Change,15:15:00 Change,15:20:00 Change,15:25:00 Change,15:30:00 Change,15:35:00 Change,15:40:00 Change,15:45:00 Change,15:50:00 Change,15:55:00 Change,14:50:00 %Chg,14:55:00 %Chg,15:00:00 %Chg,15:05:00 %Chg,15:10:00 %Chg,15:15:00 %Chg,15:20:00 %Chg,15:25:00 %Chg,15:30:00 %Chg,15:35:00 %Chg,15:40:00 %Chg,15:45:00 %Chg,15:50:00 %Chg,15:55:00 %Chg,14:50:00 Volume,14:55:00 Volume,15:00:00 Volume,15:05:00 Volume,15:10:00 Volume,15:15:00 Volume,15:20:00 Volume,15:25:00 Volume,15:30:00 Volume,15:35:00 Volume,15:40:00 Volume,15:45:00 Volume,15:50:00 Volume,15:55:00 Volume
2021-12-23,470.55,471.615,471.78,471.79,471.2775,471.45,471.66,471.605,471.45,471.44,471.09,471.42,471.68,471.95,471.86,471.79,471.82,471.82,471.54,471.66,471.77,471.66,471.53,471.45,471.51,471.705,472.02,472.19,471.87,471.595,471.73,471.28,471.2775,471.42,471.54,471.44,471.37,471.02,471.05,471.355,471.67,471.79,470.54,471.79,471.79,471.2824,471.45,471.655,471.61,471.455,471.435,471.09,471.435,471.68,471.94,471.85,470.55,0.17,0.0,-0.5076,0.1676,0.205,-0.045,-0.155,-0.02,-0.345,0.345,0.245,0.26,-0.09,-1.3,0.04%,0.00%,-0.11%,0.04%,0.04%,-0.01%,-0.03%,0.00%,-0.07%,0.07%,0.05%,0.06%,-0.02%,-0.28%,328104.0,398022.0,405252.0,529472.0,315187.0,549000.0,354863.0,430935.0,702576.0,995050.0,785491.0,1816971.0,2312928.0,4469767.0
2021-12-27,477.23,476.135,476.02,476.17,476.02,476.0,475.96,475.89,475.95,476.27,476.32,476.15,476.58,476.7,477.015,476.17,476.22,476.17,476.08,476.02,475.96,476.03,476.31,476.4,476.34,476.6,476.77,477.11,477.31,475.98,475.93,475.92,475.82,475.81,475.6931,475.78,475.9419,476.27,476.11,476.12,476.54,476.6,476.86,476.01,476.17,476.025,476.01,475.965,475.9,475.95,476.27,476.32,476.15,476.58,476.7,477.03,477.23,-0.125,0.16,-0.145,-0.015,-0.045,-0.065,0.05,0.32,0.05,-0.17,0.43,0.12,0.33,0.2,-0.03%,0.03%,-0.03%,0.00%,-0.01%,-0.01%,0.01%,0.07%,0.01%,-0.04%,0.09%,0.03%,0.07%,0.04%,349128.0,466705.0,361656.0,599019.0,375086.0,441908.0,382656.0,465076.0,539233.0,430270.0,676758.0,1329867.0,2447488.0,5453063.0
2021-12-28,476.95,476.78,476.92,477.0,476.76,477.04,477.14,476.975,477.02,476.96,476.82,477.07,477.32,477.46,476.69,477.06,476.995,477.02,477.08,477.16,477.169,477.15,477.125,477.21,477.17,477.57,477.7,477.46,476.95,476.55,476.75,476.69,476.61,476.94,476.84,476.955,476.94,476.54,476.82,477.0,477.3,476.46,476.44,476.92,476.99,476.75,477.06,477.15,476.98,477.01,476.98,476.825,477.07,477.32,477.45,476.7,476.95,0.145,0.07,-0.24,0.31,0.09,-0.17,0.03,-0.03,-0.155,0.245,0.25,0.13,-0.75,0.25,0.03%,0.01%,-0.05%,0.07%,0.02%,-0.04%,0.01%,-0.01%,-0.03%,0.05%,0.05%,0.03%,-0.16%,0.05%,327140.0,294144.0,286256.0,344978.0,359275.0,262919.0,201409.0,245941.0,400531.0,320990.0,672418.0,739159.0,1718188.0,3684212.0
2021-12-29,477.48,477.36,477.51,477.58,477.48,477.68,477.65,477.83,477.77,477.92,478.255,478.13,478.07,478.36,478.03,477.59,477.63,477.6,477.7,477.73,477.91,477.85,477.95,478.3125,478.34,478.27,478.43,478.56,478.03,477.35,477.5,477.36,477.42,477.6,477.58,477.65,477.73,477.91,478.06,477.99,478.06,477.98,477.36,477.51,477.585,477.48,477.69,477.655,477.84,477.77,477.9125,478.25,478.12,478.075,478.365,478.025,477.48,0.15,0.075,-0.105,0.21,-0.035,0.185,-0.07,0.1425,0.3375,-0.13,-0.045,0.29,-0.34,-0.545,0.03%,0.02%,-0.02%,0.04%,-0.01%,0.04%,-0.01%,0.03%,0.07%,-0.03%,-0.01%,0.06%,-0.07%,-0.11%,274132.0,304490.0,412558.0,475693.0,535849.0,470589.0,425553.0,531314.0,762488.0,593508.0,948669.0,1187808.0,2249003.0,3165523.0
2021-12-30,476.23,478.13,478.045,478.15,477.95,477.79,477.64,477.81,477.65,477.565,477.44,477.36,477.015,476.81,476.46,478.155,478.15,478.15,477.98,477.8113,477.84,477.86,477.78,477.73,477.53,477.37,477.15,476.8374,476.53,478.0025,478.025,477.765,477.75,477.54,477.59,477.61,477.56,477.425,477.27,476.88,476.54,475.98,475.67,478.05,478.15,477.95,477.78,477.64,477.8,477.651,477.56,477.44,477.37,477.015,476.81,476.475,476.23,-0.08,0.1,-0.2,-0.17,-0.14,0.16,-0.149,-0.091,-0.12,-0.07,-0.355,-0.205,-0.335,-0.245,-0.02%,0.02%,-0.04%,-0.04%,-0.03%,0.03%,-0.03%,-0.02%,-0.03%,-0.01%,-0.07%,-0.04%,-0.07%,-0.05%,200523.0,163296.0,368382.0,200993.0,403672.0,255706.0,322344.0,291887.0,417436.0,658870.0,849961.0,1094885.0,2147633.0,5559370.0
2021-12-31,475.12,476.09,475.96,475.945,476.25,476.19,475.9799,476.22,476.16,476.45,476.06,476.18,476.39,476.18,474.99,476.16,476.05,476.4195,476.27,476.309,476.23,476.22,476.5499,476.61,476.19,476.45,476.7,476.18,475.17,475.95,475.75,475.92,476.055,475.935,475.87,475.95,476.1,476.02,475.96,476.11,476.18,474.93,474.67,475.97,475.96,476.24,476.185,475.9799,476.215,476.16,476.44,476.06,476.17,476.385,476.19,474.9809,475.12,-0.12,-0.01,0.28,-0.055,-0.2051,0.2351,-0.055,0.28,-0.38,0.11,0.215,-0.195,-1.2091,0.1391,-0.03%,0.00%,0.06%,-0.01%,-0.04%,0.05%,-0.01%,0.06%,-0.08%,0.02%,0.05%,-0.04%,-0.25%,0.03%,321608.0,556131.0,624866.0,334277.0,513870.0,414540.0,486918.0,629793.0,593337.0,660692.0,819494.0,1501928.0,2833439.0,7873773.0
2022-01-03,477.72,477.47,477.39,477.22,477.28,477.285,477.385,477.4,477.3,477.4,477.52,477.39,476.95,477.65,477.46,477.57,477.39,477.36,477.3399,477.485,477.465,477.53,477.48,477.525,477.75,477.45,477.68,477.75,477.85,477.33,477.14,477.0001,477.11,477.24,477.22,477.26,477.28,477.26,477.3033,476.65,476.861,477.115,477.155,477.395,477.228,477.29,477.285,477.3881,477.4,477.3,477.3901,477.525,477.39,476.95,477.64,477.47,477.72,-0.075,-0.167,0.062,-0.005,0.1031,0.0119,-0.1,0.0901,0.1349,-0.135,-0.44,0.69,-0.17,0.25,-0.02%,-0.03%,0.01%,0.00%,0.02%,0.00%,-0.02%,0.02%,0.03%,-0.03%,-0.09%,0.14%,-0.04%,0.05%,371425.0,324625.0,470299.0,366791.0,478141.0,285865.0,473788.0,420650.0,462073.0,963592.0,1187689.0,1663055.0,2098967.0,5404826.0
2022-01-04,477.59,477.37,477.46,477.42,477.68,477.7,477.88,477.9,478.12,478.26,478.02,478.075,478.38,478.6,478.15,477.565,477.475,477.71,477.76,477.96,478.0,478.29,478.32,478.28,478.22,478.48,478.67,478.96,478.16,477.28,477.31,477.38,477.58,477.7,477.71,477.88,477.99,477.91,477.96,478.025,478.31,478.1,477.44,477.46,477.415,477.67,477.7,477.88,477.9,478.119,478.25,478.03,478.08,478.375,478.6,478.16,477.59,0.0977,-0.045,0.255,0.03,0.18,0.02,0.219,0.131,-0.22,0.05,0.295,0.225,-0.44,-0.57,0.02%,-0.01%,0.05%,0.01%,0.04%,0.00%,0.05%,0.03%,-0.05%,0.01%,0.06%,0.05%,-0.09%,-0.12%,425338.0,358400.0,440682.0,383171.0,554481.0,516967.0,750066.0,700269.0,669778.0,828843.0,1375017.0,1658530.0,2371926.0,3907310.0
2022-01-05,468.62,471.9,471.96,471.7,470.83,470.48,470.85,470.66,470.535,470.3,470.29,470.65,470.32,469.51,469.56,472.25,471.96,471.7,471.07,471.05,470.93,470.91,470.88,470.67,471.19,470.96,470.35,470.04,469.78,471.55,471.48,470.82,469.95,470.2899,470.39,470.21,470.17,469.98,470.01,470.26,469.51,469.28,468.2801,471.96,471.6901,470.83,470.49,470.8599,470.69,470.54,470.295,470.275,470.66,470.31,469.52,469.5599,468.62,0.04,-0.2699,-0.8601,-0.34,0.3699,-0.1699,-0.15,-0.245,-0.02,0.385,-0.35,-0.79,0.0399,-0.9399,0.01%,-0.06%,-0.18%,-0.07%,0.08%,-0.04%,-0.03%,-0.05%,0.00%,0.08%,-0.07%,-0.17%,0.01%,-0.20%,1288679.0,1015790.0,1369026.0,1980665.0,1447775.0,1426905.0,1401831.0,1429194.0,1715937.0,2090063.0,1867970.0,2688970.0,3101863.0,6783780.0
2022-01-06,467.86,469.37,469.43,469.39,470.0145,469.65,469.3,468.79,468.59,468.97,468.35,468.135,468.25,467.93,467.76,469.46,469.68,470.045,470.175,469.88,469.42,468.955,469.015,469.13,468.57,468.43,468.44,468.28,468.17,469.09,469.31,469.38,469.59,469.27,468.6,468.355,468.45,468.24,467.88,467.79,467.82,467.67,467.09,469.42,469.42,470.02,469.68,469.2996,468.76,468.6,468.96,468.36,468.13,468.27,467.94,467.75,467.86,0.05,0.0,0.6,-0.34,-0.3804,-0.5396,-0.16,0.36,-0.6,-0.23,0.14,-0.33,-0.19,0.11,0.01%,0.00%,0.13%,-0.07%,-0.08%,-0.11%,-0.03%,0.08%,-0.13%,-0.05%,0.03%,-0.07%,-0.04%,0.02%,369360.0,432314.0,579793.0,548989.0,626689.0,772253.0,537842.0,519319.0,843038.0,1032912.0,935211.0,927252.0,1972488.0,5581778.0
